epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
130,156390,1.24432,0.59238,0.00216,0.91084,0.77989,0.82128,0.62988,1.01561,0.41851,0.00195,0.005743,0.005743,0.005743
131,158574,1.24116,0.58818,0.0021,0.91216,0.78145,0.82241,0.63084,1.01461,0.4189,0.00195,0.00571,0.00571,0.00571
132,160935,1.26544,0.61205,0.00209,0.91276,0.78151,0.8224,0.63071,1.01408,0.41968,0.00195,0.005677,0.005677,0.005677
133,3393.93,1.2052,0.55734,0.00196,0.9137,0.78189,0.82258,0.63151,1.01359,0.41784,0.00195,0.005644,0.005644,0.005644
134,6479.07,1.23091,0.59934,0.00212,0.91562,0.78077,0.8229,0.63175,1.01247,0.41668,0.00195,0.005611,0.005611,0.005611
135,9652.18,1.22848,0.59407,0.00206,0.91246,0.78178,0.82384,0.63284,1.01244,0.41625,0.00194,0.005578,0.005578,0.005578
136,12511,1.24366,0.59999,0.00207,0.91465,0.78336,0.82566,0.63434,1.01298,0.41581,0.00194,0.005545,0.005545,0.005545
137,15393,1.22778,0.58865,0.00205,0.91596,0.78242,0.82509,0.63413,1.01348,0.41527,0.00194,0.005512,0.005512,0.005512
138,18377.7,1.23381,0.59368,0.00218,0.91479,0.78122,0.82396,0.63387,1.01357,0.41409,0.00195,0.005479,0.005479,0.005479
139,21256.2,1.23518,0.58433,0.00215,0.91352,0.78167,0.82448,0.63387,1.01464,0.41369,0.00195,0.005446,0.005446,0.005446
140,24273.8,1.24063,0.5902,0.00199,0.91356,0.78206,0.82584,0.63478,1.01523,0.41288,0.00194,0.005413,0.005413,0.005413
141,27345.3,1.25486,0.58804,0.00201,0.91315,0.78459,0.82694,0.63536,1.01462,0.41294,0.00195,0.00538,0.00538,0.00538
142,30419.2,1.23133,0.58325,0.00209,0.9174,0.78175,0.82678,0.63573,1.01439,0.41241,0.00195,0.005347,0.005347,0.005347
143,33442.6,1.22888,0.58225,0.00207,0.91725,0.78099,0.82646,0.63631,1.01425,0.4121,0.00195,0.005314,0.005314,0.005314
144,36318,1.23553,0.58516,0.00208,0.91961,0.78014,0.82631,0.63599,1.01381,0.41211,0.00195,0.005281,0.005281,0.005281
145,39140.3,1.23116,0.58684,0.00216,0.91613,0.7808,0.82647,0.6359,1.01365,0.41278,0.00195,0.005248,0.005248,0.005248
